conceito_candidato,ocorrencias,esta_no_vocabulario
"a Bola em jogo sai da Quadra de Jogo, então o Árbitro indica um Goleiro",1,False
"o Árbitro indica um Goleiro, então o Goleiro introduz uma Bola Reserva na Partida",1,False
Goleiro introduz a Bola Reserva com Rapidez Máxima Possível,1,False
Reposição da Bola,1,False
de minimizar Interrupção do Tempo de Jogo,1,False
categoria masculina,1,False
categoria feminina,1,False
categoria mista,1,False
no máximo 10 Atletas,1,False
no mínimo 6 Atletas presentes no início da Partida,1,False
"uma Equipe possui menos de 4 Atletas elegíveis, então a Partida",1,False
INTERROMPIDA,1,False
uma Partida,1,False
"INTERROMPIDA por insuficiência de Atletas, então a Equipe Adversária vence a Partida",1,False
no máximo 4 Atletas na Quadra de Jogo,1,False
no máximo 3 Atletas com Papel Funcional Jogador de Linha na Quadra de Jogo,1,False
no máximo 1 Atleta com Papel Funcional Goleiro na Quadra de Jogo,1,False
Atleta fora da Quadra de Jogo,1,False
Papel de Substituto,1,False
Substituto permanece na própria Área de Substituição,1,False
Participante presente no início da Partida,1,False
Participante inscrito na Súmula,1,False
ELEGÍVEL,1,False
Participante que chega após o início solicita Elegibilidade à Mesa,1,False
Mesa registra na Súmula um Participante que recebe Elegibilidade tardia,1,False
Atleta elegível,1,False
Oficial Responsável garante a entrada exclusiva de Atleta elegível,1,False
entrada de Atleta inelegível produz Conduta Antidesportiva do Oficial Responsável,1,False
exatamente um Atleta com Papel Funcional Goleiro na Quadra de Jogo durante a Partida,1,False
entre Papel Funcional Goleiro e Papel Funcional Jogador de Linha,1,False
Alternância de Papel Funcional exige nova Atribuição de Papel Funcional,1,False
no máximo 4 Oficiais de Equipe,1,False
no máximo 2 Oficiais de Equipe,1,False
Oficial de Equipe excedente permanece atrás da Área de Substituição,1,False
Oficial de Equipe excedente permanece fora da Zona de Segurança,1,False
durante a Partida,1,False
exatamente um Oficial Responsável,1,False
a Mesa,1,False
os Árbitros nas situações autorizadas,1,False
Quadra de Jogo sem autorização,1,False
Entrada Não Autorizada de Oficial produz Conduta Antidesportiva,1,False
Entrada Não Autorizada de Oficial reinicia a Partida com Tiro Livre para a Equipe Adversária,1,False
exatamente 2 Participantes elegíveis para atendimento de lesão,1,False
Autorização de Atendimento utiliza o Sinal Manual 15,1,False
Atendimento de Lesão ocorre durante Tempo Técnico,1,False
Quadra de Jogo exclusivamente para atender o Atleta lesionado,1,False
terceira entrada para Atendimento de Lesão,1,False
ENTRADA_ILEGAL,1,False
instrução tática durante Atendimento de Lesão,1,False
Adversário durante Atendimento de Lesão,1,False
Árbitro durante Atendimento de Lesão,1,False
violação da finalidade do Atendimento de Lesão produz Conduta Antidesportiva,1,False
Jogador de Linha de uma Equipe usa Uniforme idêntico aos Uniformes dos demais Jogadores de Linha da mesma Equipe,1,False
Uniforme de uma Equipe,1,False
do Uniforme da Equipe Adversária,1,False
Shorts,1,False
Regata Ajustada ao Corpo,1,False
Calça Curta Justa,1,False
Uniforme,1,False
Acessório,1,False
Regata possui_cor da categoria,1,False
Quadra de Jogo usa Uniforme com desenho idêntico ao Uniforme da própria Equipe,1,False
Quadra de Jogo usa Uniforme com número idêntico ao próprio número de Atleta,1,False
distinta da cor dos Jogadores de Linha de ambas as Equipes,1,False
distinta da cor dos Goleiros da Equipe Adversária,1,False
Oficial de Equipe usa camisa idêntica à camisa dos demais Oficiais da mesma Equipe,1,False
distinta da cor dos Atletas da própria Equipe,1,False
